Nombre,Breve descripción,Componentes,Duración,Esfera de conjuro,Materiales,"Nivel ",Rango,Ritual,Tiempo de lanzamiento,Tipo duración
Cuerpo de Caja,"Tu cuerpo se convierte en un contenedor extradimensional de bordes imposibles, guardando lo que no debería caber.","S, V","Concentración, hasta 1 minuto","Origen, Realidad",,2º círculo,Personal,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Dominio de la Puerta,"Con un gesto trazas una puerta en el aire o en la pared y esta obedece, abriéndose donde no existía antes.","M, S, V","Concentración, hasta 1 minuto","Espejismo, Realidad",Una llave de hierro oxidado,2º círculo,12 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Cuerpo Atenuado,"Tu cuerpo se vuelve parcialmente etéreo, los golpes te atraviesan parcialmente y tus pasos no hacen ruido.","S, V","Concentración, hasta 1 minuto","Espejismo, Realidad",,2º círculo,Personal,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Cuerpo de Vidrio,Tu piel adopta un brillo vítreo y tu cuerpo fragmenta la luz mientras los cristales brotan de tus puños.,"S, V","Concentración, hasta 1 minuto","Catálisis, Cénit",,2º círculo,Personal (emisión de fragmentos en radio 4 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Estandarte Viviente,De tu espalda surgen tiras de tela arcana que ondulan con mensajes de fuerza o terror según tu voluntad.,"S, V","Concentración, hasta 1 minuto","Destino, Mente",,2º círculo,Personal (aura de 6 casillas),No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Generación de Llaves,"De tu palma emerge una llave perfecta que abre lo que deba abrirse, incluidas cosas que no tienen cerradura visible.","S, V"," 1 hora","Destino, Origen",,2º círculo,Toque,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Aura Perfumada,"Una fragancia sobrenatural emana de tu cuerpo, alterando los estados de ánimo de quienes la inhalan sin saberlo.","S, V","Concentración, hasta 1 minuto","Catálisis, Simbiosis",,2º círculo,Personal (aura de 4 casillas),No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Llamada del Abismo,Algo que vive en la oscuridad sin nombre responde tu llamada con una presencia que oprime el pecho.,"M, S, V","Concentración, hasta 1 hora","Origen, Ruina","Tinta de calamar y un anzuelo de hueso, 5 PO",2º círculo,Personal (radio 12 casillas),Yes,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Sentido del Murciélago,El mundo se vuelve un mapa de ecos y vibraciones que revelan lo que los ojos jamás podrían ver.,"M, S, V"," 8 horas","Espejismo, Simbiosis",Una membrana de ala de murciélago,2º círculo,Personal (radio 12 casillas),Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Tinta del Kraken,Un chorro negro y viscoso llena el agua o el aire con la oscuridad secreta de los abismos oceánicos.,"M, S, V",10 minutos,"Catálisis, Ruina","Tinta de pulpo, 5 PO, consumidos",2º círculo,10 casillas (área: cubo de 5×5×5 casillas),Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Piel de Criatura Abisal,Tu piel adquiere las propiedades de las criaturas de las profundidade,"M, S, V",8 horas,"Ruina, Simbiosis"," Escamas de criatura abisal y barro de cueva, 15 PO",2º círculo,Personal,Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Forma de la Criatura de las Grietas,"Tu cuerpo cruje y se retuerce hasta volverse algo que solo existe en los pasajes donde la luz murió hace siglos.
","M, S, V","Concentración, hasta 1 hora","Catálisis, Simbiosis","Quitina de insecto de cueva y musgo luminiscente, 20 PO, consumidos",2º círculo,"Personal ",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Maldición del fondo,"La maldición cae como fango del fondo oceánico: lenta, pegajosa e imposible de sacudir con simple voluntad.","M, S, V"," Concentración, hasta 1 hora","Destino, Ruina","Un trozo de coral negro, 10 PO, consumidos",2º círculo,12 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Bendición de la Lluvia,"El cielo abre sus dedos y deja caer agua que sabe a vida, empapando la tierra con benevolencia pluvial.","M, S, V",1 hora,"Energía, Restauración",Agua de lluvia recogida y semillas de trigo,2º círculo,"Personal (área: cilindro de radio 20 casillas, altura 10 casillas)",Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Ojo de la Tormenta,"La tormenta gira alrededor de ti pero tú permaneces quieto en el centro, sereno en el caos que governas.","M, S, V","Concentración, hasta 10 minutos","Destino, Energía","Agua de lluvia y un trozo de nube atrapada en cristal, 25 PO",2º círculo,"Personal (radio de 40 casillas, ""ojo"" de 4 casillas alrededor del lanzador)",Yes,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Plumas del Fénix,La pluma de fuego se disuelve en la piel del objetivo dejando una última promesa ardiente de vida robada a la muerte.,"M, S, V",24 horas,"Energía, Restauración","Una pluma de fénix o de pájaro de fuego, 50 PO, consumidos",2º círculo,Toque,Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Bola de Fuego,Una esfera de llamas ruge hacia el punto designado y lo convierte en un infierno voraz.,"M, S, V",Instantánea,Energía,Una bolita de guano de murciélago y azufre,3º círculo,"24 casillas, radio de explosión 4 casillas",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Carne Gris,La piel del objetivo palidece hasta el gris ceniza mientras su carne se vuelve frágil como arcilla seca.,"M, S, V","Concentración, hasta 1 minuto","Catálisis, Ruina",Un trozo de carne putrefacta,3º círculo,12 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Implosión Gravitatoria,El espacio se dobla hacia adentro con un gemido sordo y aplasta todo lo que encierra.,"M, S, V",Instantánea,"Cinético, Cénit",Un fragmento de magnetita triturada,3º círculo,"20 casillas, radio de efecto 3 casillas ",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Jardín Carnívoro,"Raíces y zarcillos emergen con hambre antigua, buscando calor, sangre y carne viva.","M, S, V","Concentración, hasta 1 minuto",Simbiosis,"Una semilla negra empapada en sangre, valor 5 PO, consumible",3º círculo,"18 casillas, radio 4 casillas sobre suelo",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Lanza Relámpago,Un rayo de luz cegadora rasga el aire como una jabalina divina de tormenta pura.,"M, S, V",Instantánea,Energía,Una varilla de cobre o hierro,3º círculo,"Línea de 16 casillas de largo, 1 casilla de ancho",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Sepulcro de Hielo,"El frío eterno de las cimas inalcanzables se concentra y convierte la carne en estatua translúcida.
","M, S, V","Concentración, hasta 1 minuto","Catálisis, Energía","Un copo de nieve conservado en ámbar, 10 PO",3º círculo,"10 casillas ",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
" Lluvia de Ácido","Nubes biliosas vomitan un aguacero corrosivo que disuelve armadura, carne y esperanza.","M, S, V","Concentración, hasta 1 minuto",Catálisis,"Un frasco de ácido, consumible",3º círculo,"20 casillas, área cilíndrica de radio 4 casillas y altura 4 casillas",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Torbellino de Huesos,"Fragmentos de esqueletos rotos giran en remolino mortal, convirtiendo los restos en cuchillas.","M, S, V","Concentración, hasta 1 minuto",Ruina,Un puñado de huesos triturados,3º círculo,"12 casillas, radio 3 casillas ",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Enjambre de Plagas,Una nube viva de insectos devoradores brama como tormenta oscura y se lanza hambrienta.,"M, S, V","Concentración, hasta 10 minutos",Simbiosis,"Un escarabajo muerto, 5 PO",3º círculo,"18 casillas, área cilíndrica radio 3 casillas, altura 3 casillas",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Corte de Conjuro,"Un filo invisible de pura negación se desliza entre el lanzador y su hechizo, y lo secciona limpiamente.","S, V",Instantánea,"Cinético, Destino",,3º círculo,12 casillas,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Devorar Conjuro,"La magia del enemigo es absorbida por un vacío ávido, convertida en mera energía bruta que alimenta al devorador.","M, S, V",Instantánea,"Destino, Ruina","Un cristal vacío sellado, 50 PO",3º círculo,Tú mismo,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Zona Antimagia,"Un silencio absoluto se asienta sobre el área: aquí la magia no respira, no arde, no existe.","M, S, V","Concentración, hasta 1 minuto","Destino, Realidad","Un fragmento de piedra antimagica, 200 PO",3º círculo,"Tú mismo (radio 3 casillas, 15 pies)",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Devolver Conjuro,"Lo que fue lanzado vuelve, retorcido, con el mismo filo pero apuntando hacia su origen.","M, S, V",Instantánea,"Destino, Espejismo","Un espejo pequeño de plata, 25 PO",3º círculo,Tú mismo,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Reescribir el Destino,"El hilo del tiempo se estira, los dedos del destino lo atrapan y lo atan a una nueva dirección.","M, S, V",Instantánea,"Destino, Realidad","Un hilo de oro trenzado, 30 PO, consumible",3º círculo,12 casillas,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
" Hoja Prismática","Una hoja de energía pura cristaliza en el aire, cambia de color según su naturaleza y decapita el mundo.","S, V",Instantánea,"Catálisis, Cinético, Cénit, Energía, Espejismo, Mente, Ruina, Simbiosis",,3º círculo,Personal,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Disipación Prismática,El efecto mágico objetivo se desgrana en colores imposibles y se deshace como niebla de mañana.,"M, S, V",Instantánea,"Catálisis, Cinético, Cénit, Destino, Energía, Espejismo, Mente, Ruina","Un prisma de cristal tallado, 15 PO",3º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Precipitación Prismática,El cielo se abre en colores violentos y desde las nubes desciende una tormenta de materia pura y hostil.,"M, S, V","Concentración, hasta 1 minuto","Catálisis, Cinético, Cénit, Energía, Espejismo, Mente, Ruina, Simbiosis","Una gema del color asociado a la esfera elegida, 20 PO, consumible",3º círculo,"24 casillas, área cilíndrica de radio 4 casillas y altura 6 casillas",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Conjurar Bombardeo,El arma desaparece en un destello y regresa multiplicada en una lluvia de impactos furiosos.,"M, S, V","Concentración, hasta 1 minuto","Cinético, Origen","Un fragmento de cuarzo y pólvora de hueso, 5 PO, consumible",3º círculo,Toque (arma portada por una criatura voluntaria en 2 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Tajo Separador,"El filo del arma se extiende más allá del acero, cortando el aire mismo con un chirriido antinatural.","M, S, V","Concentración, hasta 10 minutos","Cinético, Cénit",Un hilo de seda cortado,3º círculo,"Toque ",No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Arma que Retorna,"El arma arrojada traza un arco imposible en el aire, guiada por una voluntad que no es la de la física.","M, S, V","Concentración, hasta 1 hora","Cinético, Destino",Un arma arrojadiza y un imán,3º círculo,"Toque ",No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Golpe Encadenado,El impacto del arma libera un arco eléctrico que salta de cuerpo en cuerpo como rumor de tormenta.,"M, S, V","Concentración, hasta 1 minuto","Cinético, Energía",Una varilla de cobre y un arma portada,3º círculo,"Toque ",No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Filo Sombrío,"El arma bebe la luz de su entorno y golpea desde la sombra, donde no debería alcanzar.","M, S, V","Concentración, hasta 10 minutos","Espejismo, Ruina",Un fragmento de carbón bendecido y un arma portada,3º círculo,Toque,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Arma Vorpal,"El filo del arma trasciende su propia forma y corta donde el destino lo ordena, no donde la física lo permite.","M, S, V","Concentración, hasta 1 minuto","Cinético, Destino","Un pelo de unicornio y un arma cortante portada, 100 PO, consumible",3º círculo,Toque,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Arma Gravitatoria,"El arma dobla el espacio que la rodea: lo que golpea no puede alejarse, y lo que está lejos se acerca sin querer.","M, S, V","Concentración, hasta 10 minutos","Cinético, Cénit","Un fragmento de meteorito, 50 PO",3º círculo,Toque (arma portada),No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Imbuición Sagrada,La divinidad desciende al acero como luz que elige dónde arde y dónde sana.,"S, V","Concentración, hasta 10 minutos","Destino, Restauración",,3º círculo,Toque (arma portada por el lanzador o un aliado voluntario en 2 casillas),No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Círculo de Sal,La sal purifica el suelo y levanta una barrera invisible que recuerda a lo impuro que no es bienvenido.,"M, S, V",8 horas,"Destino, Restauración","1 libra de sal pura, 1 PO, consumible",3º círculo,"Tú mismo (radio 4 casillas, 20 pies)",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Santuario de Raíces,"La tierra misma se vuelve madre: sus raíces abrazan a los elegidos y rechazan a quienes vendrían a hacerles daño.

","M, S, V",8 horas,"Restauración, Simbiosis","Semillas de plantas medicinales y un cuenco de agua, 10 PO, consumible",3º círculo,"Tú mismo (radio 5 casillas, 25 pies) centrado en un árbol, planta grande o suelo de tierra)",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Niebla Guardiana,"Una niebla espesa y sabia cubre a los elegidos: los esconde, los protege, los abraza.","M, S, V",8 horas,"Catálisis, Espejismo","Agua de manantial y polvo de cuarzo ahumado, 8 PO, consumible",3º círculo,"Tú mismo (radio 6 casillas, 30 pies)",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Fortaleza de Piedra Efímera,De la tierra emergen muros y techos que saben distinguir entre los que protegen y los que asedian.,"M, S, V",8 horas,"Cénit, Origen","Un trozo de arcilla o piedra y un dibujo de los planos de la estructura, 15 PO, consumible",3º círculo,4 casillas del lanzador (área de construcción de hasta 5×5 casillas),Yes,1 minuto,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Velo de Amparo,"Una bendición invisible desciende sobre el lugar: los golpes que debían encontrar carne se desvían como si el destino los rechazara.

","M, S, V",8 horas,"Destino, Espejismo","Hilo de plata trenzado y cera de vela consagrada, 20 PO, consumible",3º círculo,"Tú mismo (radio 4 casillas, 20 pies)",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Refugio Lunar,La luz de la luna convierte el espacio en algo entre sueño y santuario: un lugar donde el cuerpo recuerda cómo sanarse.,"M, S, V",8 horas,"Espejismo, Restauración","Agua de luna llena en un cuenco de plata, 30 PO, no consumible",3º círculo,"Tú mismo (radio 5 casillas, 25 pies)",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Muro de Brasas Vigilantes,Las llamas que no queman a los tuyos arden para todo lo demás: fuego que discrimina y recuerda.,"M, S, V",8 horas,"Destino, Energía","Madera de árbol caído y aceite de oliva, 5 PO, consumible",3º círculo,"Puedes crear un muro de hasta 8 casillas de largo, 2 casillas de alto y 1 casilla de ancho en cualquier configuración continua dentro de 6 casillas del lanzador",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Muralla de Marea,"El agua forma un muro viviente que empuja, ahoga y separa, obedeciendo solo a quien la invocó.","M, S, V",8 horas,Catálisis,Un odre de agua de río o mar,3º círculo,"Hasta 6 casillas del lanzador (muro de hasta 8 casillas de largo, 3 casillas de alto, 1 casilla de ancho)",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Marea de Miel,"Miel dorada e irresistible brota del suelo o del aire, espesa, dulce y absolutamente inconveniente.","M, S, V","Concentración, hasta 10 minutos","Catálisis, Simbiosis","Un panal de cera, 5 PO, consumible",3º círculo,"16 casillas, área de hasta 4×4 casillas sobre suelo",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Prisión de Caramelo,"El caramelo emerge como jaula traicionera, dulce por dentro y duro como el hierro por fuera.","M, S, V","Concentración, hasta 1 minuto","Cinético, Cénit",Azúcar moreno y una gota de zumo de limón,3º círculo,12 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Suelo de Mantequilla,"Una capa resbaladiza de mantequilla convierte el suelo en una pesadilla lúbrica de caídas y vergüenzas.

","M, S, V","Concentración, hasta 10 minutos","Catálisis, Cinético",Un trozo de mantequilla o grasa animal,3º círculo,"16 casillas, área de 4×4 casillas sobre suelo",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Muro de Galletas,Bloques de galleta dorada emergen del suelo como una muralla crujiente que huele a hogar y dificulta el avance.,"M, S, V","Concentración, hasta 10 minutos","Cénit, Origen","Harina, mantequilla y azúcar",3º círculo,"10 casillas, muro de hasta 6 casillas de largo, 2 de alto, 1 de ancho",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Trampa de Caramelo Duro,"Esferas de caramelo transparente caen inocentemente al suelo, tan bellas como una trampa bien puesta.","M, S, V",1 hora,"Catálisis, Destino",Azúcar y colorante natural,3º círculo,16 casillas dispersas en área de 4×4 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Reanimar,"La muerte se inclina ante tu voluntad y lo que yacía quieto se levanta, obediente y hambriento.","M, S, V",24 horas (renovable),"Origen, Ruina","Un fragmento de hueso negro y tierra de cementerio, 25 PO, consumible",3º círculo,"6 casillas ",Yes,1 minuto,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición del Ojo Hambriento,"Una pupila invisible se abre en la nuca del maldito y nunca, jamás, deja de observar.","M, S, V",Hasta ser disipada,"Mente, Ruina","Un ojo de animal conservado en sal, 15 PO, consumible",3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
"Maldición de la Herida Abierta ",Cada corte que recibe se niega a cerrar; su cuerpo ha olvidado cómo sanarse a sí mismo.,"M, S, V",Hasta ser disipada,"Catálisis, Ruina",Una aguja oxidada y hilo de cabello del objetivo,3º círculo,2 casillas,Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
"Maldición del Fuego Interior ","Un ascua vive en su pecho: pequeña ahora, pero hambrienta, y el miedo la alimenta bien.","M, S, V",Hasta ser disipada,Energía,"Ceniza de madera quemada mezclada con la saliva del objetivo, 10 PO, consumible",3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
"Maldición del Reflejo Monstruoso ","Los espejos le devuelven algo distinto: más viejo, más roto, más muerto.

","M, S, V",Hasta ser disipada,"Espejismo, Mente","Un trozo de espejo negro y sangre del objetivo, 20 PO, consumible",3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición del Traidor Involuntario,Sus manos harán lo que su mente rechaza; la traición no necesita querer para ocurrir.,"M, S, V",Hasta ser disipada,"Destino, Mente","Un cordel anudado de seda negra, 30 PO, consumible",3º círculo,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición de la Sombra Hambrienta,"Su sombra ha aprendido a tener voluntad propia, y lo que quiere no le desea bien.","M, S, V",Hasta ser disipada,Espejismo,Un trozo de tela negra y polvo de carbón,3º círculo,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición del Sueño Eterno,El sueño lo llama en cada silencio; tarde o temprano lo llamará desde el que no regresa.,"M, S, V",Hasta ser disipada,"Mente, Ruina","Pétalos de adormidera y arena de playa de noche de luna nueva, 15 PO, consumible",3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
"Maldición del Nombre Robado ","Pronunciar su nombre en voz alta duele; escucharlo de labios ajenos, aterroriza.","M, S, V",Hasta ser disipada,"Destino, Mente","Un pergamino con el nombre verdadero del objetivo escrito y una gota de su sangre, 25 PO, consumible",3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición de la Compasión Envenenada,"Cada vez que cuida a otro, una parte de él mismo se derrama en el suelo y no regresa.","M, S, V",Hasta ser disipada,"Restauración, Ruina","Una vela de cera negra derretida sobre una flor blanca, 10 PO, consumible",3º círculo,2 casillas,No,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición del Guerrero Maldito,Cada golpe que da se vuelve contra él: su fuerza es su condena más elegante.,"M, S, V",Hasta ser disipada,"Cinético, Ruina","Un fragmento del arma del objetivo o serrín de hierro, 10 PO, consumible",3º círculo,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición de la Oscuridad Personal,"La luz no lo abandona: él abandona la luz. Cada vez más, y sin querer.","M, S, V",Hasta ser disipada,Espejismo,"Polvo de carbón mezclado con cera negra, 5 PO, consumible",3º círculo,"2 casillas ",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición del Hambre Sin Fondo,"Come y come pero el vacío crece; hay un agujero en su alma que tiene la forma de todo lo que perdió.

","M, S, V",Hasta ser disipada,Catálisis,Un hueso de animal roído hasta la médula,3º círculo,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición de las Palabras Venenosas,Cada promesa que hace se pudre en el aire; cada mentira se vuelve verdad y le duele.,"M, S, V",Hasta ser disipada,Mente,"Cera de sello negra y una pluma de cuervo, 10 PO, consumible",3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición del Corazón Expuesto,"Lo que ama se vuelve su debilidad; cada lazo es un filo que apunta hacia adentro.

","M, S, V",Hasta ser disipada,Destino,"Un mechón de cabello de alguien a quien el objetivo ame, 50 PO, consumible",3º círculo,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición de la Codicia Consumidora,"Las monedas que acumula pesan más cada día; lo que tiene ya no es suyo, sino al revés.","M, S, V",Hasta ser disipada,Mente,Una moneda de oro mordida y un grano de sal,3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Maldición del Toque Marchito,Lo que toca se muere un poco; lo que ama se marchita más rápido que el resto.,"M, S, V",Hasta ser disipada,"Ruina, Simbiosis","Hojas secas pulverizadas y tierra de un cementerio antiguo, 8 PO, consumible",3º círculo,2 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Invocar Ser Feérico,"De entre los velos del Feywild surge algo que parece una flor, hasta que sonríe.","M, S, V","Concentración, hasta 1 hora","Espejismo, Origen","Una flor silvestre, una gota de miel y una moneda de plata lanzada al suelo, 5 PO, consumible",3º círculo,"6 casillas ",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Invocar Demonio Menor,El olor a azufre llega primero; lo que viene después siempre es peor de lo que se esperaba.,"M, S, V","Concentración, hasta 1 hora","Origen, Ruina","Sangre del lanzador [1 PG de daño] y polvo de azufre, 5 PO, consumible",3º círculo,6 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Invocar Sombra,"No tiene forma propia; toma la tuya, y la tuya se parece cada vez más a la suya.","M, S, V","Concentración, hasta 1 hora","Espejismo, Origen, Ruina","Un trozo de seda negra quemada en oscuridad absoluta, 15 PO, consumible",3º círculo,"6 casillas ",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
